profession,sense-name,sense-definition,primary-soc,secondary-soc
groom,stableman.n.01,someone employed in a stable to take care of the horses,"45:Farming, Fishing, and Forestry Occupations",
grower,agriculturist.n.01,someone concerned with the science or art or business of cultivating the soil,"19:Life, Physical, and Social Science Occupations",
guard,guard.n.01,a person who keeps watch over something or someone,33:Protective Service Occupations,
guard,guard.n.02,the person who plays that position on a football team,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
guard,guard.n.05,the person who plays the position of guard on a basketball team,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
guard,guard.n.06,a military unit serving to protect some place or person,33:Protective Service Occupations,
guidance counselor,,,21:Community and Social Service Occupations,
guide,guide.n.02,someone who shows the way by leading or advising,General,
guide,scout.n.04,someone who can find paths through unexplored territory,General,
guide,usher.n.03,someone employed to conduct others,General,
guitar player,guitarist.n.01,a musician who plays the guitar,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
guitarist,guitarist.n.01,a musician who plays the guitar,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
