profession,sense-name,sense-definition,primary-soc,secondary-soc
spy,spy.n.01,(military) a secret agent hired by a state to obtain information about its enemies or by a business to obtain industrial secrets from competitors,55:Military Specific Occupations,
spy,spy.n.02,a secret watcher; someone who secretly watches other people,Can't Say,
ss,schutzstaffel.n.01,special police force in Nazi Germany founded as a personal bodyguard for Adolf Hitler in 1925; the SS administered the concentration camps,33:Protective Service Occupations,
staff sergeant,staff_sergeant.n.01,a noncommissioned officer ranking above corporal and below sergeant first class in the Army or Marines or above airman 1st class in the Air Force,55:Military Specific Occupations,
state trooper,,,33:Protective Service Occupations,
steward,custodian.n.01,one having charge of buildings or grounds or animals,37:Building and Grounds Cleaning and Maintenance Occupations,
steward,shop_steward.n.01,a union member who is elected to represent fellow workers in negotiating with management,13:Business and Financial Operations Occupations,
steward,steward.n.01,someone who manages property or other affairs for someone else,11:Management Occupations,
steward,steward.n.02,the ship's officer who is in charge of provisions and dining arrangements,35:Food Preparation and Serving Related Occupations,
steward,steward.n.03,an attendant on an airplane,53:Transportation and Material Moving Occupations,
stewardess,stewardess.n.01,a woman steward on an airplane,53:Transportation and Material Moving Occupations,
stockbroker,stockbroker.n.01,an agent in the buying and selling of stocks and bonds,41:Sales and Related Occupations,
stripper,stripper.n.02,a worker who strips the stems from moistened tobacco leaves and binds the leaves together into books,51:Production Occupations,
stripper,stripper.n.03,a performer who provides erotic entertainment by undressing to music,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
stylist,hairdresser.n.01,someone who cuts or beautifies hair,39:Personal Care and Service Occupations,
stylist,stylist.n.01,an artist who is a master of a particular style,39:Personal Care and Service Occupations,
superintendent,overseer.n.01,a person who directs and manages an organization,11:Management Occupations,
superintendent,superintendent.n.02,a caretaker for an apartment house; represents the owner as janitor and rent collector,37:Building and Grounds Cleaning and Maintenance Occupations,
supermodel,supermodel.n.01,a fashion model who has attained the status of a celebrity,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
surfer,surfer.n.01,someone who engages in surfboarding,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
surgeon,surgeon.n.01,a physician who specializes in surgery,29:Healthcare Practitioners and Technical Occupations,
surveyor,surveyor.n.01,an engineer who determines the boundaries and elevations of land or structures,17:Architecture and Engineering Occupations,
surveyor,surveyor.n.02,someone who conducts a statistical survey,17:Architecture and Engineering Occupations,
sweeper,sweeper.n.01,an employee who sweeps (floors or streets etc.),37:Building and Grounds Cleaning and Maintenance Occupations,
swimmer,swimmer.n.01,a trained athlete who participates in swimming meets,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
tailor,tailor.n.01,a person whose occupation is making and altering garments,51:Production Occupations,
instructor,teacher.n.01,a person whose occupation is teaching,25:Educational Instruction and Library Occupations,
technician,technician.n.01,someone whose occupation involves training in a specific technical process,General,
technician,technician.n.02,someone known for high skill in some intellectual or artistic technique,General,
teller,teller.n.02,an official appointed to count the votes (especially in legislative assembly),43:Office and Administrative Support Occupations,
teller,teller.n.03,an employee of a bank who receives and pays out money,43:Office and Administrative Support Occupations,
tester,examiner.n.01,someone who administers a test to determine your qualifications,General,
therapist,therapist.n.01,a person skilled in a particular type of therapy,29:Healthcare Practitioners and Technical Occupations,
tour guide,tour_guide.n.01,a guide who leads others on a tour,39:Personal Care and Service Occupations,
trader,trader.n.01,someone who purchases and maintains an inventory of goods to be sold,41:Sales and Related Occupations,
trainer,trainer.n.01,one who trains other persons or animals,39:Personal Care and Service Occupations,
translator,interpreter.n.01,someone who mediates between speakers of different languages,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
translator,translator.n.01,a person who translates written messages from one language to another,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
trapper,trapper.n.01,someone who sets traps for animals (usually to obtain their furs),"45:Farming, Fishing, and Forestry Occupations",
travel agent,travel_agent.n.01,someone who sells or arranges trips or tours for customers,41:Sales and Related Occupations,
treasurer,treasurer.n.01,an officer charged with receiving and disbursing funds,11:Management Occupations,
trooper,cavalryman.n.01,a soldier in a motorized army unit,55:Military Specific Occupations,
trooper,cavalryman.n.02,a soldier mounted on horseback,55:Military Specific Occupations,
trooper,trooper.n.02,a mounted policeman,33:Protective Service Occupations,
trooper,trooper.n.03,a state police officer,33:Protective Service Occupations,
truck driver,teamster.n.02,someone who drives a truck as an occupation,53:Transportation and Material Moving Occupations,
trucker,teamster.n.02,someone who drives a truck as an occupation,53:Transportation and Material Moving Occupations,
teacher,teacher.n.01,a person whose occupation is teaching,25:Educational Instruction and Library Occupations,
typist,typist.n.01,someone paid to operate a typewriter,43:Office and Administrative Support Occupations,
understudy,understudy.n.01,an actor able to replace a regular performer when required,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
undertaker,mortician.n.01,one whose business is the management of funerals,39:Personal Care and Service Occupations,
up person,,,35:Food Preparation and Serving Related Occupations,
usher,usher.n.02,an official stationed at the entrance of a courtroom or legislative chamber,39:Personal Care and Service Occupations,
usher,usher.n.03,someone employed to conduct others,39:Personal Care and Service Occupations,
valet,valet.n.01,a manservant who acts as a personal attendant to his employer,39:Personal Care and Service Occupations,
vendor,seller.n.01,someone who promotes or exchanges goods or services for money,41:Sales and Related Occupations,
ventriloquist,ventriloquist.n.01,a performer who projects the voice into a wooden dummy,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
veterinarian,veterinarian.n.01,a doctor who practices veterinary medicine,29:Healthcare Practitioners and Technical Occupations,
vicar,vicar.n.01,a Roman Catholic priest who acts for another higher-ranking clergyman,21:Community and Social Service Occupations,
vicar,vicar.n.02,(Episcopal Church) a clergyman in charge of a chapel,21:Community and Social Service Occupations,
vicar,vicar.n.03,(Church of England) a clergyman appointed to act as priest of a parish,21:Community and Social Service Occupations,
vice president,vice_president.n.01,an executive officer ranking immediately below a president; may serve in the president's place under certain circumstances,11:Management Occupations,
viceroy,viceroy.n.01,governor of a country or province who rules as the representative of his or her king or sovereign,11:Management Occupations,
violinist,violinist.n.01,a musician who plays the violin,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
vocalist,singer.n.01,a person who sings,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
waiter,waiter.n.01,a person whose occupation is to serve at table (as in a restaurant),35:Food Preparation and Serving Related Occupations,
waitress,waitress.n.01,a woman waiter,35:Food Preparation and Serving Related Occupations,
warden,warden.n.01,the chief official in charge of a prison,33:Protective Service Occupations,
watcher,watchman.n.01,a guard who keeps watch,33:Protective Service Occupations,
watchman,watchman.n.01,a guard who keeps watch,33:Protective Service Occupations,
weatherman,weatherman.n.01,predicts the weather,"19:Life, Physical, and Social Science Occupations",
weaver,weaver.n.01,a craftsman who weaves cloth,51:Production Occupations,
wedding planner,,,13:Business and Financial Operations Occupations,
wingman,wingman.n.01,the pilot who positions his aircraft outside and behind (on the wing of) the leader of a flying formation,53:Transportation and Material Moving Occupations,
witch doctor,witch_doctor.n.01,someone who is believed to heal through magical powers,29:Healthcare Practitioners and Technical Occupations,
wrestler,wrestler.n.01,combatant who tries to throw opponent to the ground,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
writer,writer.n.01,writes (books or stories or articles or the like) professionally (for pay),"27:Arts, Design, Entertainment, Sports, and Media Occupations",
cinematographer,cameraman.n.01,a photographer who operates a movie camera,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
chief executive,president_of_the_united_states.n.01,the person who holds the office of head of state of the United States government,11:Management Occupations,
chief executive,president_of_the_united_states.n.02,the office of the United States head of state,11:Management Occupations,
sketch artist,,,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
